tempo,amplitude,amplitude_filtered,noise
0.0,0.36502228,0.0,0.0014570909775717955
2.0000000000000017e-08,0.36546653,0.3662294831774401,-0.0007629531774400733
4.0000000000000034e-08,0.37336966,0.369093953794583,0.004275706205417007
6.000000000000006e-08,0.3768896,0.3724149207023082,0.004474679297691797
8.000000000000008e-08,0.38163556,0.37643342971942284,0.005202130280577144
1.0000000000000009e-07,0.38698427,0.3813543641505951,0.005629905849404926
1.200000000000001e-07,0.38607988,0.38732537113653764,-0.0012454911365376575
1.4000000000000014e-07,0.38577826,0.3944170551112181,-0.008638795111218123
1.6000000000000016e-07,0.39542854,0.40260626045389064,-0.007177720453890646
1.8000000000000018e-07,0.40318861,0.41176445016579977,-0.008575840165799764
2.0000000000000018e-07,0.41342083,0.4216530496851015,-0.00823221968510146
2.200000000000002e-07,0.42674838,0.43192715614502025,-0.00517877614502027
2.400000000000002e-07,0.44067812,0.4421483304725099,-0.001470210472509892
2.600000000000002e-07,0.44897728,0.45180644955968347,-0.0028291695596834865
2.800000000000003e-07,0.45226932,0.4603499266012779,-0.008080606601277907
3.0000000000000025e-07,0.45990324,0.46722306785178547,-0.0073198278517854765
3.200000000000003e-07,0.46439975,0.47190887866219067,-0.007509128662190667
3.400000000000003e-07,0.47386133,0.47397514953306286,-0.0001138195330628311
3.600000000000003e-07,0.47706902,0.47312108582930523,0.003947934170694778
3.8000000000000033e-07,0.47402276,0.4692211712399548,0.004801588760045161
4.0000000000000035e-07,0.47344846,0.46236254629354795,0.011085913706452066
4.200000000000004e-07,0.46475057,0.45287208629244663,0.011878483707553344
4.400000000000004e-07,0.45416147,0.4413296324079842,0.012831837592015838
4.600000000000004e-07,0.44542082,0.4285644472613586,0.01685637273864138
4.800000000000004e-07,0.43478883,0.4156328872311245,0.0191559427688755
5.000000000000004e-07,0.42288878,0.4037764642731147,0.01911231572688532
5.200000000000004e-07,0.41283769,0.39436088293852367,0.018476807061476308
5.400000000000004e-07,0.41149165,0.38879826308268645,0.02269338691731354
5.600000000000005e-07,0.40139911,0.38845655361103526,0.012942556388964743
5.800000000000005e-07,0.39627212,0.39456203252950545,0.001710087470494559
6.000000000000005e-07,0.39424086,0.4081026421668966,-0.013861782166896597
6.200000000000005e-07,0.39031925,0.42974147298556986,-0.039422222985569855
6.400000000000005e-07,0.40195901,0.4597505808757626,-0.05779157087576259
6.600000000000006e-07,0.43103001,0.4979750208639979,-0.0669450108639979
6.800000000000006e-07,0.47566218,0.543835102437158,-0.06817292243715806
7.000000000000006e-07,0.53149268,0.5963712748742241,-0.0648785948742241
7.200000000000006e-07,0.62158248,0.6543309725761453,-0.032748492576145205
7.400000000000006e-07,0.73097319,0.7162908035551119,0.014682386444888174
7.600000000000007e-07,0.83847389,0.7808015861690533,0.05767230383094679
7.800000000000007e-07,0.928503,0.8465391396477052,0.08196386035229475
8.000000000000007e-07,0.99046497,0.9124416521542644,0.07802331784573557
8.200000000000007e-07,1.0399416,0.9778156285853482,0.062125971414651704
8.400000000000007e-07,1.0918914,1.0423966481537819,0.0494947518462181
8.600000000000008e-07,1.1531704,1.106357340642438,0.04681305935756197
8.800000000000008e-07,1.2063274,1.170261732835835,0.03606566716416504
9.000000000000008e-07,1.2588417,1.2349714067874602,0.02387029321253986
9.200000000000008e-07,1.3132061,1.3015143272381535,0.011691772761846408
9.400000000000008e-07,1.3488531,1.370931652055876,-0.022078552055876166
9.600000000000008e-07,1.39009,1.444121221627184,-0.05403122162718388
9.800000000000008e-07,1.4419031,1.5216983967942563,-0.07979529679425634
1.0000000000000008e-06,1.4893344,1.6038949493054617,-0.11456054930546178
1.0200000000000008e-06,1.5623009,1.690514256779795,-0.12821335677979495
1.0400000000000008e-06,1.6614258,1.7809557930061908,-0.11952999300619083
1.0600000000000009e-06,1.7767369,1.8743139164352947,-0.0975770164352947
1.0800000000000009e-06,1.9163371,1.9695458512319273,-0.053208751231927254
1.100000000000001e-06,2.0702542,2.0656926964876683,0.004561503512331644
1.120000000000001e-06,2.2328791,2.162126886630955,0.0707522133690448
1.140000000000001e-06,2.3929931,2.258791502200087,0.13420159779991314
1.160000000000001e-06,2.5362605,2.3563927964245086,0.17986770357549142
1.180000000000001e-06,2.6651745,2.456508447663928,0.20866605233607194
1.200000000000001e-06,2.7722559,2.561580878712183,0.210675021287817
1.220000000000001e-06,2.8618678,2.67477716049421,0.18709063950579008
1.240000000000001e-06,2.9389963,2.799713368940301,0.1392829310596988
1.260000000000001e-06,3.0086279,2.9400599657714386,0.06856793422856144
1.280000000000001e-06,3.0938234,3.099063597413961,-0.005240197413961312
1.300000000000001e-06,3.1821175,3.2790372952241205,-0.09691979522412053
1.3200000000000011e-06,3.2735106,3.4808832117298953,-0.20737261172989552
1.3400000000000011e-06,3.3792217,3.703717865306096,-0.3244961653060958
1.3600000000000012e-06,3.5036139,3.9446678101772084,-0.4410539101772084
1.3800000000000012e-06,3.6628922,4.198892315084589,-0.5360001150845894
1.4000000000000012e-06,3.9156438,4.459867950328481,-0.544224150328481
1.4200000000000012e-06,4.4058437,4.719937752241957,-0.3140940522419573
1.4400000000000012e-06,5.1060681,4.971086740890668,0.1349813591093323
1.4600000000000013e-06,5.6373709,5.2058616813183765,0.4315092186816232
1.4800000000000013e-06,5.9249601,5.418316104454516,0.5066439955454838
1.500000000000001e-06,6.1826165,5.604842971025428,0.5777735289745722
1.5200000000000011e-06,6.3997446,5.764763499807211,0.634981100192789
1.5400000000000011e-06,6.5052923,5.900570110421462,0.6047221895785375
1.5600000000000014e-06,6.4774454,6.017767281994732,0.45967811800526803
1.5800000000000014e-06,6.3454978,6.124308799007948,0.22118900099205252
1.6000000000000014e-06,6.1792556,6.229686496815517,-0.05043089681551649
1.6200000000000014e-06,6.0030264,6.343776998078812,-0.34075059807881125
1.6400000000000017e-06,5.8598156,6.475591178641981,-0.6157755786419807
