tempo,amplitude_filtered
0,1e-9
2E-08,0.3662294831774400
4E-08,0.369093954
6.00000000000001E-08,0.3724149207023080
8.00000000000001E-08,0.37643342971942300
1E-07,0.3813543641505950
1.2E-07,0.38732537113653800
1.4E-07,0.3944170551112180
1.6E-07,0.40260626045389100
1.8E-07,0.41176445016580000
2E-07,0.4216530496851020
2.2E-07,0.43192715614502000
2.4E-07,0.4421483304725100
2.6E-07,0.45180644955968300
2.8E-07,0.4603499266012780
3E-07,0.46722306785178500
3.2E-07,0.47190887866219100
3.4E-07,0.47397514953306300
3.6E-07,0.47312108582930500
3.8E-07,0.4692211712399550
4E-07,0.46236254629354800
4.2E-07,0.45287208629244700
4.4E-07,0.4413296324079840
4.6E-07,0.4285644472613590
4.8E-07,0.4156328872311250
5E-07,0.4037764642731150
5.2E-07,0.39436088293852400
5.4E-07,0.38879826308268600
5.6E-07,0.38845655361103500
5.8E-07,0.39456203252950500
6E-07,0.4081026421668970
6.2E-07,0.42974147298557000
6.4E-07,0.4597505808757630
6.60000000000001E-07,0.4979750208639980
6.80000000000001E-07,0.543835102
7.00000000000001E-07,0.5963712748742240
7.20000000000001E-07,0.6543309725761450
7.40000000000001E-07,0.7162908035551120
7.60000000000001E-07,0.7808015861690530
7.80000000000001E-07,0.8465391396477050
8.00000000000001E-07,0.9124416521542640
8.20000000000001E-07,0.9778156285853480
8.40000000000001E-07,1.0423966481537800
8.60000000000001E-07,1.106357340642440
8.80000000000001E-07,1.170261732835840
9.00000000000001E-07,1.2349714067874600
9.20000000000001E-07,1.3015143272381500
9.40000000000001E-07,1.370931652055880
9.60000000000001E-07,1.444121221627180
9.80000000000001E-07,1.5216983967942600
1E-06,1.6038949493054600
1.02E-06,1.690514256779800
1.04E-06,1.7809557930061900
1.06E-06,1.8743139164352900
1.08E-06,1.9695458512319300
1.1E-06,2.0656926964876700
1.12E-06,2.162126886630960
1.14E-06,2.258791502200090
1.16E-06,2.3563927964245100
1.18E-06,2.456508447663930
1.2E-06,2.561580878712180
1.22E-06,2.67477716
1.24E-06,2.799713368940300
1.26E-06,2.9400599657714400
1.28E-06,3.099063597413960
1.3E-06,3.2790372952241200
1.32E-06,3.4808832117299000
1.34E-06,3.703717865306100
1.36E-06,3.9446678101772100
1.38E-06,4.198892315084590
1.4E-06,4.459867950328480
1.42E-06,4.719937752241960
1.44E-06,4.971086740890670
1.46E-06,5.2058616813183800
1.48E-06,5.418316104454520
1.5E-06,5.604842971025430
1.52E-06,5.764763499807210
1.54E-06,5.900570110421460
1.56E-06,6.017767281994730
1.58E-06,6.124308799007950
1.6E-06,6.229686496815520
1.62E-06,6.343776998078810
1.64E-06,6.475591178641980
1.66E-06,6.632089227835570
1.68E-06,6.817217909909550
1.7E-06,7.031295917183910
1.72E-06,7.270823226065200
1.74E-06,7.528731239293650
1.76E-06,7.795034229223350
1.78E-06,8.057798543569680
1.8E-06,8.304318096648010
1.82E-06,8.522371860519310
1.84E-06,8.701437979374540
1.86E-06,8.833746359648520
1.88E-06,8.915065647538780
1.9E-06,8.945142462
1.92E-06,8.927742491
1.94E-06,8.870283962
1.96E-06,8.783099283180700
1.98E-06,8.678402932
2E-06,8.569076511706370
2.02E-06,8.467401523937200
2.04E-06,8.383875679124860
2.06E-06,8.326239815
2.08E-06,8.298820938214620
2.1E-06,8.302263812555750
2.12E-06,8.333680597605140
2.14E-06,8.387198222111230
2.16E-06,8.454832170480780
2.18E-06,8.527570903135840
2.2E-06,8.596525421973070
2.22E-06,8.653989668240980
2.24E-06,8.694272118
2.26E-06,8.714195529238610
2.28E-06,8.713214456
2.3E-06,8.693159667031310
2.32E-06,8.657674282042000
2.34E-06,8.611449067050500
2.36E-06,8.559387899461100
2.38E-06,8.505836823641400
2.4E-06,8.453992165
2.42E-06,8.405568084906060
2.44E-06,8.360757341456010
2.46E-06,8.318468759594590
2.48E-06,8.276779980931640
2.5E-06,8.233512265956640
2.52E-06,8.186820146674690
2.54E-06,8.135693373428710
2.56E-06,8.080289350051240
2.58E-06,8.022046378691400
2.6E-06,7.963565725279320
2.62E-06,7.908287836197050
2.64E-06,7.860019633868710
2.66E-06,7.82239133
2.68E-06,7.798329680596680
2.7E-06,7.789629151350480
2.72E-06,7.796684517691420
2.74E-06,7.818421257750520
2.76E-06,7.852428190089770
2.78E-06,7.895265211064910
2.8E-06,7.942893048012610
2.82E-06,7.991156158881780
2.84E-06,8.036246537622310
2.86E-06,8.075084620240380
2.88E-06,8.105571030418650
2.9E-06,8.126686017317420
2.92E-06,8.138438323973010
2.94E-06,8.141687934159550
2.96E-06,8.137884054902240
2.98E-06,8.128768353418870
3E-06,8.116093173383520
3.02E-06,8.101396153477950
3.04E-06,8.085858438162390
3.06E-06,8.070256190142870
3.08E-06,8.054997404477760
3.1E-06,8.040221225267470
3.12E-06,8.025927834
3.14E-06,8.012105125537760
3.16E-06,7.998823680003240
3.18E-06,7.986282142562460
3.2E-06,7.974798057790260
3.22E-06,7.964751535158350
3.24E-06,7.956498528148540
3.26E-06,7.950275642245030
3.28E-06,7.946118676337230
3.3E-06,7.943812897486070
3.32E-06,7.942885667959970
3.34E-06,7.942643368924500
3.36E-06,7.942246359
3.38E-06,7.940809219668030
3.4E-06,7.937509598646400
3.42E-06,7.931687987442570
3.44E-06,7.922922955589010
3.46E-06,7.911071205708550
3.48E-06,7.896268471872360
3.5E-06,7.878894316277210
3.52E-06,7.859509782882670
3.54E-06,7.838780458403310
3.56E-06,7.817398296848240
3.58E-06,7.796013823611260
3.6E-06,7.775186749535420
3.62E-06,7.755358474697860
3.64E-06,7.736845331964930
3.66E-06,7.719847545069320
3.68E-06,7.704466515074250
3.7E-06,7.690722757103050
3.72E-06,7.678568656983390
3.74E-06,7.667893603726600
3.76E-06,7.658522866841320
3.78E-06,7.650214648506110
3.8E-06,7.6426612109549600
3.82E-06,7.635499526012310
3.84E-06,7.628334656954820
3.86E-06,7.620775600352710
3.88E-06,7.612479458439880
3.9E-06,7.603196640796130
3.92E-06,7.592808264494770
3.94E-06,7.581347560879990
3.96E-06,7.568999813182560
3.98E-06,7.556079461605660
4E-06,7.542987492387420
4.02E-06,7.530156069108800
4.04E-06,7.517989856794060
4.06E-06,7.506814201012430
4.08E-06,7.4968390066762200
4.1E-06,7.488143898482420
4.12E-06,7.480685725312640
4.14E-06,7.474324909305770
4.16E-06,7.468863723477460
4.18E-06,7.464087908683220
4.2E-06,7.459803089664910
4.22E-06,7.455858977482560
4.24E-06,7.452157121120470
4.26E-06,7.448641603385840
4.28E-06,7.445275847186370
4.3E-06,7.442011755095740
4.32E-06,7.438759094651180
4.34E-06,7.435363065031090
4.36E-06,7.431596406
4.38E-06,7.427169649487360
4.4E-06,7.421759731
4.42E-06,7.415053771
4.44E-06,7.406801748806460
4.46E-06,7.396869683341650
4.48E-06,7.385284096148940
4.5E-06,7.372259353996200
4.52E-06,7.3582016400389900
4.54E-06,7.343686523535490
4.56E-06,7.329410930214550
4.58E-06,7.316124314071210
4.6E-06,7.304547377990640
4.62E-06,7.295289108205770
4.64E-06,7.2887736483085800
4.66E-06,7.2851874081994800
4.68E-06,7.284453895411260
4.7E-06,7.286239567766400
4.72E-06,7.289989361289910
4.74E-06,7.294986362572030
4.76E-06,7.300427092318690
4.78E-06,7.305502420927140
4.8E-06,7.309474283436350
4.82E-06,7.311739863025510
4.84E-06,7.311877326984350
4.86E-06,7.309669998017430
4.88E-06,7.305108578034290
4.9E-06,7.298373437211070
4.92E-06,7.289800897474590
4.94E-06,7.279838768823750
4.96E-06,7.268997016064620
4.98E-06,7.257799255882730
5E-06,7.246739860301940
5.02E-06,7.236250003141580
5.04E-06,7.226674370031610
5.06E-06,7.218258760328300
5.08E-06,7.2111475835068200
5.1E-06,7.205389300247860
5.12E-06,7.200947205841560
5.14E-06,7.197712745373690
5.16E-06,7.195518943647320
5.18E-06,7.194152487454750
5.2E-06,7.193364188588320
5.22E-06,7.192878515224800
5.24E-06,7.192403264221950
5.26E-06,7.1916402278997900
5.28E-06,7.1902971542516400
5.3E-06,7.188100779905420
5.32E-06,7.184810458435440
5.34E-06,7.180231886398770
5.36E-06,7.174230475369330
5.38E-06,7.166743894869070
5.4E-06,7.157793159607500
5.42E-06,7.147491315571300
5.44E-06,7.136048299941710
5.46E-06,7.123770079933130
5.48E-06,7.111050066753470
5.5E-06,7.098351382793580
5.52E-06,7.086179868316580
5.54E-06,7.075049414063090
5.56E-06,7.065442784504840
5.58E-06,7.057772137283320
5.6E-06,7.052343791119200
5.62E-06,7.049331500009400
5.64E-06,7.048761623525040
5.66E-06,7.050512122147260
5.68E-06,7.054325304488820
5.7E-06,7.059832061871060
5.72E-06,7.066583554616800
5.74E-06,7.074085502
5.76E-06,7.081830550598710
5.78E-06,7.089325455778200
5.8E-06,7.096111494696940
5.82E-06,7.101778167551580
5.84E-06,7.105971378837540
5.86E-06,7.108397911426680
5.88E-06,7.108828171750690
5.9E-06,7.1070989592097000
5.92E-06,7.103117359129890
5.94E-06,7.0968658571304600
5.96E-06,7.088407747625850
5.98000000000001E-06,7.077891261988580
6E-06,7.065550773124050
6.02E-06,7.051703852142430
6.04E-06,7.036743609650070
6.06000000000001E-06,7.021126412870120
6.08E-06,7.005355585352810
6.1E-06,6.989961998404640
6.12E-06,6.975482523585800
6.14000000000001E-06,6.962437151632530
6.16E-06,6.951305304472800
6.18E-06,6.942501697081580
6.2E-06,6.936352284964160
6.22000000000001E-06,6.9330714104947600
6.24000000000001E-06,6.932741995331480
6.26E-06,6.9353011520011000
6.28E-06,6.940533668962430
6.30000000000001E-06,6.948075411
6.32000000000001E-06,6.957427806770930
6.34E-06,6.967983350956130
6.36E-06,6.979060550315110
6.38000000000001E-06,6.9899453350465800
6.40000000000001E-06,6.999934955558830
6.42000000000001E-06,7.008380145691870
6.44E-06,7.014721869802900
6.46E-06,7.018520060236870
6.48000000000001E-06,7.0194730306704800
6.50000000000001E-06,7.017427428200690
6.52E-06,7.012379527858650
6.54E-06,7.004469347305990
6.56000000000001E-06,6.993969433597640
6.58000000000001E-06,6.981270165
6.6E-06,6.966862949981370
6.62E-06,6.951321864003440
6.64000000000001E-06,6.935283257274380
6.66000000000001E-06,6.919422108734260
6.68000000000001E-06,6.904423716952910
6.7E-06,6.890949954682780
6.72000000000001E-06,6.879600645
6.74000000000001E-06,6.870872277302790
6.76000000000001E-06,6.865117797126180
6.78E-06,6.862512168508190
6.80000000000001E-06,6.863028600302430
6.82000000000001E-06,6.866429631482300
6.84000000000001E-06,6.872275751507340
6.86000000000001E-06,6.879952093956510
6.88000000000001E-06,6.888711358305070
6.90000000000001E-06,6.8977289321865600
6.92000000000001E-06,6.906164617117970
6.94000000000001E-06,6.913224670765070
6.96000000000001E-06,6.918218121194500
6.98000000000001E-06,6.920602346241220
7.00000000000001E-06,6.920014506297390
7.02000000000001E-06,6.916287293323550
7.04000000000001E-06,6.909449311679170
7.06000000000001E-06,6.899711957205190
7.08000000000001E-06,6.887445717573430
7.10000000000001E-06,6.873149295595720
7.12000000000001E-06,6.857414854054010
7.14000000000001E-06,6.840892061441770
7.16000000000001E-06,6.824252656166620
7.18000000000001E-06,6.808156247905850
7.20000000000001E-06,6.793217415221950
7.22000000000001E-06,6.779974147015460
